                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86658,                 2.5028,                0.91119,                0.49582,                0.38042,                0.50307,                 0.2373,                0.73367,                 1.2432,                0.88913,               0.070207,              0.0033103,              0.0033103
                      1,                0.79242,                 1.1796,                0.89605,                0.70753,                0.66544,                0.64817,                0.29889,                0.74346,                 1.7093,                0.88628,               0.040163,              0.0065998,              0.0065998
                      2,                 0.8409,                 1.1304,                0.89907,                0.69305,                0.59724,                0.64841,                0.30668,                0.82254,                  1.097,                0.89761,               0.010075,              0.0098453,              0.0098453
                      3,                0.81708,                 1.0345,                0.90125,                 0.8051,                0.64308,                0.69547,                 0.3662,                0.69654,                0.86285,                0.88675,               0.009802,               0.009802,               0.009802
                      4,                0.75177,                0.89343,                 0.8955,                0.68872,                0.66396,                0.66551,                0.36193,                0.68479,                0.82288,                0.88678,               0.009802,               0.009802,               0.009802
                      5,                0.72872,                 0.8527,                0.88722,                0.81965,                0.74333,                0.75263,                0.40611,                0.65664,                0.77406,                0.87386,               0.009736,               0.009736,               0.009736
                      6,                0.71274,                0.80262,                0.88299,                0.72263,                0.77435,                0.75438,                0.42417,                 0.6115,                0.78066,                0.86483,                0.00967,                0.00967,                0.00967
                      7,                0.67098,                0.76835,                0.87628,                0.78556,                0.69409,                0.75679,                0.41048,                 0.6106,                0.76525,                0.86336,               0.009604,               0.009604,               0.009604
                      8,                 0.6931,                0.76045,                0.88074,                0.78048,                0.72632,                0.78926,                0.40226,                0.67943,                0.74546,                0.86699,               0.009538,               0.009538,               0.009538
                      9,                0.66138,                 0.7313,                0.87377,                0.80741,                0.75577,                0.78222,                0.44418,                0.60681,                  0.697,                0.85908,               0.009472,               0.009472,               0.009472
                     10,                0.66021,                0.71078,                0.87261,                0.82164,                0.74243,                0.83945,                0.45647,                0.57312,                0.67878,                0.85843,               0.009406,               0.009406,               0.009406
